activity_id,branch_method,branch_time_in_child,branch_time_in_parent,experiment,experiment_id,frequency,grid,grid_label,institution_id,nominal_resolution,parent_activity_id,parent_experiment_id,parent_source_id,parent_time_units,parent_variant_label,product,realm,source_id,source_type,sub_experiment,sub_experiment_id,table_id,variable_id,variant_label,member_id,standard_name,long_name,units,vertical_levels,init_year,start_time,end_time,time_range,path,version
EERIE,no parent,,,pre-industrial control,eerie-piControl,mon,Native N216 grid; 432 x 324 longitude/latitude,gn,MOHC,100 km,,no parent,,,,model-output,aerosol,HadGEM3-GC5-EERIE-N216-ORCA025,AOGCM AER,none,none,AERmon,bldep,r1i1p1f1,r1i1p1f1,atmosphere_boundary_layer_thickness,Boundary Layer Depth,m,1.0,,1851-01-16 12:00:00,1869-12-16 12:00:00,1851-01-16 12:00:00-1869-12-16 12:00:00,/gws/nopw/j04/eerie/public/data/EERIE/EERIE/MOHC/HadGEM3-GC5-EERIE-N216-ORCA025/eerie-piControl/r1i1p1f1/AERmon/bldep/gn/v20231010/bldep_AERmon_HadGEM3-GC5-EERIE-N216-ORCA025_eerie-piControl_r1i1p1f1_gn_185101-186912.nc,v20231010
EERIE,no parent,,,pre-industrial control,eerie-piControl,mon,Native N216 grid; 432 x 324 longitude/latitude,gn,MOHC,100 km,,no parent,,,,model-output,aerosol,HadGEM3-GC5-EERIE-N216-ORCA025,AOGCM AER,none,none,AERmon,bldep,r1i1p1f1,r1i1p1f1,atmosphere_boundary_layer_thickness,Boundary Layer Depth,m,1.0,,1870-01-16 12:00:00,1889-12-16 12:00:00,1870-01-16 12:00:00-1889-12-16 12:00:00,/gws/nopw/j04/eerie/public/data/EERIE/EERIE/MOHC/HadGEM3-GC5-EERIE-N216-ORCA025/eerie-piControl/r1i1p1f1/AERmon/bldep/gn/v20231010/bldep_AERmon_HadGEM3-GC5-EERIE-N216-ORCA025_eerie-piControl_r1i1p1f1_gn_187001-188912.nc,v20231010
EERIE,no parent,,,pre-industrial control,eerie-piControl,mon,Native N216 grid; 432 x 324 longitude/latitude,gn,MOHC,100 km,,no parent,,,,model-output,aerosol,HadGEM3-GC5-EERIE-N216-ORCA025,AOGCM AER,none,none,AERmon,bldep,r1i1p1f1,r1i1p1f1,atmosphere_boundary_layer_thickness,Boundary Layer Depth,m,1.0,,1890-01-16 12:00:00,1909-12-16 12:00:00,1890-01-16 12:00:00-1909-12-16 12:00:00,/gws/nopw/j04/eerie/public/data/EERIE/EERIE/MOHC/HadGEM3-GC5-EERIE-N216-ORCA025/eerie-piControl/r1i1p1f1/AERmon/bldep/gn/v20231010/bldep_AERmon_HadGEM3-GC5-EERIE-N216-ORCA025_eerie-piControl_r1i1p1f1_gn_189001-190912.nc,v20231010
EERIE,no parent,,,pre-industrial control,eerie-piControl,mon,Native N216 grid; 432 x 324 longitude/latitude,gn,MOHC,100 km,,no parent,,,,model-output,aerosol,HadGEM3-GC5-EERIE-N216-ORCA025,AOGCM AER,none,none,AERmon,bldep,r1i1p1f1,r1i1p1f1,atmosphere_boundary_layer_thickness,Boundary Layer Depth,m,1.0,,1910-01-16 12:00:00,1929-12-16 12:00:00,1910-01-16 12:00:00-1929-12-16 12:00:00,/gws/nopw/j04/eerie/public/data/EERIE/EERIE/MOHC/HadGEM3-GC5-EERIE-N216-ORCA025/eerie-piControl/r1i1p1f1/AERmon/bldep/gn/v20231010/bldep_AERmon_HadGEM3-GC5-EERIE-N216-ORCA025_eerie-piControl_r1i1p1f1_gn_191001-192912.nc,v20231010
EERIE,no parent,,,pre-industrial control,eerie-piControl,mon,Native N216 grid; 432 x 324 longitude/latitude,gn,MOHC,100 km,,no parent,,,,model-output,aerosol,HadGEM3-GC5-EERIE-N216-ORCA025,AOGCM AER,none,none,AERmon,bldep,r1i1p1f1,r1i1p1f1,atmosphere_boundary_layer_thickness,Boundary Layer Depth,m,1.0,,1930-01-16 12:00:00,1949-12-16 12:00:00,1930-01-16 12:00:00-1949-12-16 12:00:00,/gws/nopw/j04/eerie/public/data/EERIE/EERIE/MOHC/HadGEM3-GC5-EERIE-N216-ORCA025/eerie-piControl/r1i1p1f1/AERmon/bldep/gn/v20231010/bldep_AERmon_HadGEM3-GC5-EERIE-N216-ORCA025_eerie-piControl_r1i1p1f1_gn_193001-194912.nc,v20231010
EERIE,no parent,,,pre-industrial control,eerie-piControl,mon,Native N216 grid; 432 x 324 longitude/latitude,gn,MOHC,100 km,,no parent,,,,model-output,aerosol,HadGEM3-GC5-EERIE-N216-ORCA025,AOGCM AER,none,none,AERmon,bldep,r1i1p1f1,r1i1p1f1,atmosphere_boundary_layer_thickness,Boundary Layer Depth,m,1.0,,1950-01-16 12:00:00,1969-12-16 12:00:00,1950-01-16 12:00:00-1969-12-16 12:00:00,/gws/nopw/j04/eerie/public/data/EERIE/EERIE/MOHC/HadGEM3-GC5-EERIE-N216-ORCA025/eerie-piControl/r1i1p1f1/AERmon/bldep/gn/v20231010/bldep_AERmon_HadGEM3-GC5-EERIE-N216-ORCA025_eerie-piControl_r1i1p1f1_gn_195001-196912.nc,v20231010
EERIE,no parent,,,pre-industrial control,eerie-piControl,mon,Native N216 grid; 432 x 324 longitude/latitude,gn,MOHC,100 km,,no parent,,,,model-output,aerosol,HadGEM3-GC5-EERIE-N216-ORCA025,AOGCM AER,none,none,AERmon,bldep,r1i1p1f1,r1i1p1f1,atmosphere_boundary_layer_thickness,Boundary Layer Depth,m,1.0,,1970-01-16 12:00:00,1980-12-16 12:00:00,1970-01-16 12:00:00-1980-12-16 12:00:00,/gws/nopw/j04/eerie/public/data/EERIE/EERIE/MOHC/HadGEM3-GC5-EERIE-N216-ORCA025/eerie-piControl/r1i1p1f1/AERmon/bldep/gn/v20231010/bldep_AERmon_HadGEM3-GC5-EERIE-N216-ORCA025_eerie-piControl_r1i1p1f1_gn_197001-198012.nc,v20231010
EERIE,no parent,,,pre-industrial control,eerie-piControl,mon,Native N216 grid; 432 x 324 longitude/latitude,gn,MOHC,100 km,,no parent,,,,model-output,aerosol,HadGEM3-GC5-EERIE-N216-ORCA025,AOGCM AER,none,none,AERmon,cod,r1i1p1f1,r1i1p1f1,atmosphere_optical_thickness_due_to_cloud,Cloud Optical Depth,1,1.0,,1851-01-16 12:00:00,1869-12-16 12:00:00,1851-01-16 12:00:00-1869-12-16 12:00:00,/gws/nopw/j04/eerie/public/data/EERIE/EERIE/MOHC/HadGEM3-GC5-EERIE-N216-ORCA025/eerie-piControl/r1i1p1f1/AERmon/cod/gn/v20231010/cod_AERmon_HadGEM3-GC5-EERIE-N216-ORCA025_eerie-piControl_r1i1p1f1_gn_185101-186912.nc,v20231010
EERIE,no parent,,,pre-industrial control,eerie-piControl,mon,Native N216 grid; 432 x 324 longitude/latitude,gn,MOHC,100 km,,no parent,,,,model-output,aerosol,HadGEM3-GC5-EERIE-N216-ORCA025,AOGCM AER,none,none,AERmon,cod,r1i1p1f1,r1i1p1f1,atmosphere_optical_thickness_due_to_cloud,Cloud Optical Depth,1,1.0,,1870-01-16 12:00:00,1889-12-16 12:00:00,1870-01-16 12:00:00-1889-12-16 12:00:00,/gws/nopw/j04/eerie/public/data/EERIE/EERIE/MOHC/HadGEM3-GC5-EERIE-N216-ORCA025/eerie-piControl/r1i1p1f1/AERmon/cod/gn/v20231010/cod_AERmon_HadGEM3-GC5-EERIE-N216-ORCA025_eerie-piControl_r1i1p1f1_gn_187001-188912.nc,v20231010
EERIE,no parent,,,pre-industrial control,eerie-piControl,mon,Native N216 grid; 432 x 324 longitude/latitude,gn,MOHC,100 km,,no parent,,,,model-output,aerosol,HadGEM3-GC5-EERIE-N216-ORCA025,AOGCM AER,none,none,AERmon,cod,r1i1p1f1,r1i1p1f1,atmosphere_optical_thickness_due_to_cloud,Cloud Optical Depth,1,1.0,,1890-01-16 12:00:00,1909-12-16 12:00:00,1890-01-16 12:00:00-1909-12-16 12:00:00,/gws/nopw/j04/eerie/public/data/EERIE/EERIE/MOHC/HadGEM3-GC5-EERIE-N216-ORCA025/eerie-piControl/r1i1p1f1/AERmon/cod/gn/v20231010/cod_AERmon_HadGEM3-GC5-EERIE-N216-ORCA025_eerie-piControl_r1i1p1f1_gn_189001-190912.nc,v20231010
